epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3712,1.68643,2.08855,1.35012,0.90145,0.37371,0.57851,0.30024,1.63153,2.30891,1.31816,0.000659259,0.000659259,0.000659259
2,73.4776,1.63021,1.48768,1.33543,0.6745,0.58171,0.64672,0.32081,1.67326,2.01003,1.40291,0.00128217,0.00128217,0.00128217
3,107.031,1.63926,1.49792,1.36532,0.67004,0.6537,0.70696,0.37467,1.60554,1.87281,1.37413,0.00186108,0.00186108,0.00186108
4,141.075,1.60239,1.35982,1.3368,0.78414,0.66432,0.7647,0.39766,1.59826,1.31642,1.34627,0.001802,0.001802,0.001802
5,174.946,1.56733,1.26742,1.31623,0.76034,0.63424,0.72926,0.35661,1.67952,1.35385,1.39603,0.001736,0.001736,0.001736
6,209.047,1.55947,1.23031,1.31519,0.74913,0.7179,0.77685,0.41935,1.55475,1.18174,1.30121,0.00167,0.00167,0.00167
7,243.229,1.55008,1.16354,1.28452,0.80333,0.74708,0.82933,0.43422,1.55975,1.22562,1.32128,0.001604,0.001604,0.001604
8,279.924,1.5077,1.10583,1.26817,0.71295,0.662,0.72959,0.38943,1.62216,1.27033,1.32888,0.001538,0.001538,0.001538
9,317.703,1.51461,1.09129,1.27525,0.81925,0.7607,0.84968,0.46612,1.48091,1.04132,1.2661,0.001472,0.001472,0.001472
10,355.518,1.48511,1.03843,1.25977,0.78076,0.79677,0.84452,0.45135,1.51059,1.04449,1.27755,0.001406,0.001406,0.001406
11,393.056,1.52173,1.05206,1.27764,0.83756,0.76848,0.85083,0.46182,1.50564,0.98169,1.28737,0.00134,0.00134,0.00134
12,430.87,1.46238,1.01238,1.23992,0.79703,0.83074,0.86943,0.48993,1.47101,0.9141,1.26244,0.001274,0.001274,0.001274
13,469.887,1.45041,0.9598,1.24413,0.84995,0.79377,0.88115,0.49173,1.47275,0.92281,1.26192,0.001208,0.001208,0.001208
14,508.979,1.43107,0.93276,1.22563,0.81314,0.8297,0.88377,0.50272,1.44464,0.92853,1.24958,0.001142,0.001142,0.001142
